owner,name,url,microservice
,instana.robot.shop,https://github.com/instana/robot-shop,TRUE
,netflix.conductor,https://github.com/Netflix/conductor,TRUE
,netflix.titus.control.plane,https://github.com/Netflix/titus-control-plane,TRUE
,netflix.genie,https://github.com/Netflix/genie,TRUE
,uber.cadence,https://github.com/uber/cadence,TRUE
,sock.shop.app,https://github.com/microservices-demo/microservices-demo,TRUE
,intel.iot.platform,https://github.com/Open-IoT-Service-Platform/platform-launcher/,TRUE
,apache.incubator.airflow,https://github.com/apache/incubator-airflow/,TRUE
,cfgov.refresh,https://github.com/cfpb/cfgov-refresh,TRUE
,yelp.tron,https://github.com/Yelp/Tron,TRUE
,yelp.paasta.main,https://github.com/Yelp/paasta,TRUE
,yelp.kafka.utils,https://github.com/Yelp/kafka-utils,TRUE
,yelp.task.processing,https://github.com/Yelp/task_processing,TRUE
,yelp.casper,https://github.com/Yelp/casper,TRUE
,linkedin.burrow,https://github.com/linkedin/Burrow,TRUE
,linkedin.wherehows,https://github.com/linkedin/WhereHows,TRUE
,datadog.integrations.core.pgbouncer,https://github.com/DataDog/integrations-core,TRUE
,datadog.dd.trace.rb,https://github.com/DataDog/dd-trace-rb,TRUE
,datadog.dd.trace.dotnet,https://github.com/DataDog/dd-trace-dotnet,TRUE
,datadog.integrations.extras.hbase.master,https://github.com/DataDog/integrations-extras,TRUE
,datadog.trace.examples.rails,https://github.com/DataDog/trace-examples,TRUE
,dotnet.architecture.eShopOnContainers,https://github.com/dotnet-architecture/eShopOnContainers,TRUE
,NrgXnat.xnat.docker.compose,https://github.com/NrgXnat/xnat-docker-compose,TRUE
,square.shuttle,https://github.com/square/shuttle,TRUE
,apache.ignite.web.console.e2e,https://github.com/apache/ignite,TRUE
,apache.beam,https://github.com/apache/beam,TRUE
,apache.arrow,https://github.com/apache/arrow,TRUE
,apache.pulsar,https://github.com/apache/pulsar,TRUE
,apache.incubator.skywalking,https://github.com/apache/incubator-skywalking,TRUE
,apache.james.project,https://github.com/apache/james-project,TRUE
,apache.bookkeeper.docker,https://github.com/apache/bookkeeper,TRUE
,apache.flink.jepsen,https://github.com/apache/flink,TRUE
,apache.myfaces.tobago,https://github.com/apache/myfaces-tobago,TRUE
,apache.predictionio.tests,https://github.com/apache/predictionio,TRUE
,apache.incubator.griffin,https://github.com/apache/incubator-griffin,TRUE
,apache.metron,https://github.com/apache/metron,TRUE
,apache.trafficcontrol.tests,https://github.com/apache/trafficcontrol,TRUE
,spotify.bigtable.autoscaler,https://github.com/spotify/bigtable-autoscaler,TRUE
,dockerized.magento,https://github.com/andreaskoch/dockerized-magento,TRUE
,dockerized.magento2,https://github.com/arvatoSCM/dockerize-magento2,TRUE
,dockerized.gitlab,https://github.com/sameersbn/docker-gitlab,TRUE
,sap.infrabox.test.api,https://github.com/SAP/InfraBox,TRUE
,zammad.docker.compose,https://github.com/zammad/zammad-docker-compose,TRUE
,dockerized.portal,https://github.com/lucirr/docker-compose-portal,TRUE
,reportportal,https://github.com/reportportal/reportportal,TRUE
,onap.portal,https://github.com/onap/portal,TRUE
,portal.base,https://github.com/datosgobar/portal-base,TRUE
,cbioportal,https://github.com/cBioPortal/cbioportal,TRUE
,weblateorg,https://github.com/WeblateOrg/docker-compose,TRUE
,docker.community.server,https://github.com/ONLYOFFICE/Docker-CommunityServer,TRUE
,owncloud.server,https://github.com/owncloud-docker/server,TRUE
,zally,https://github.com/zalando/zally,TRUE
,listenbrainz.server,https://github.com/metabrainz/listenbrainz-server,TRUE
,tidb,https://github.com/pingcap/tidb-docker-compose,TRUE
,terminus.interface,https://github.com/ansjin/terminus,TRUE
,cloudfoundry.stratos,https://github.com/cloudfoundry-incubator/stratos,TRUE
,spryker.docker.shop.suite,https://github.com/spryker/docker-shop-suite/,TRUE
,devicehive,https://github.com/devicehive/devicehive-docker,TRUE
,redaxo,https://github.com/FriendsOfREDAXO/redaxo-mit-docker,TRUE
,ckan,https://github.com/okfn/docker-ckan,TRUE
,adaptdk.drupal,https://github.com/adaptdk/drupal-docker-compose,TRUE
,theodorosploumis.drupal,https://github.com/theodorosploumis/drupal-docker,TRUE
,open.fmri,https://github.com/poldracklab/open_fmri,TRUE
,node.seneca.base,https://github.com/eoinsha/node-seneca-base,TRUE
,Mogtofu33.drupal,https://github.com/Mogtofu33/docker-compose-drupal,TRUE
,inspire.next,https://github.com/inspirehep/inspire-next,TRUE
,rabbitmq.cluster,https://github.com/pardahlman/docker-rabbitmq-cluster,TRUE
,faas.voting.app,https://github.com/alexellis/faas-example-voting-app,TRUE
,kafka.stack,https://github.com/simplesteph/kafka-stack-docker-compose,TRUE
,cms.sw,https://github.com/cms-sw/cms-docker/,TRUE
,bitrix.docker,https://github.com/bitrixdock/bitrixdock,TRUE
,enonic.cms,https://github.com/enonic-cloud/docker-compose-enonic-cms,TRUE
,cortex.cms,https://github.com/cortex-cms/cortex-starter,TRUE
,vossibility.stack,https://github.com/icecrime/vossibility-stack,TRUE
,geonode,https://github.com/GeoNode/geonode,TRUE
,jazzband.website,https://github.com/jazzband/website,TRUE
,dataconnect.cluster,https://github.com/Landoop/fast-data-connect-cluster,TRUE
,fragalysis.stack,https://github.com/xchem/fragalysis-stack,TRUE
,lamp.stack,https://github.com/sprintcube/docker-compose-lamp,TRUE
,tick.stack,https://github.com/mgcrea/docker-compose-tick-stack,TRUE
,node.sample.app,https://github.com/damsonn/node-docker-compose,TRUE
,devilbox,https://github.com/cytopia/devilbox/,TRUE
,lampn.compose,https://github.com/phaldan/compose-lampn,TRUE
