ID  ,URL  ,SCORE  ,MICROSERVICE  ,MICROSERVICE_SET  ,CLASSIFICATION  ,MESSAGE  
1,https://github.com/instana/robot-shop,10.0,TRUE,TRUE,MICROSERVICE_SET,All metrics found!
2,https://github.com/Netflix/conductor,10.0,TRUE,TRUE,MICROSERVICE_SET,All metrics found!
3,https://github.com/Netflix/titus-control-plane,7.0,TRUE,FALSE,MONOLITH,Missing:  log_service ms_mention
4,https://github.com/Netflix/genie,9.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  ms_mention
5,https://github.com/uber/cadence,10.0,TRUE,FALSE,MICROSERVICE,All metrics found!
6,https://github.com/microservices-demo/microservices-demo,10.0,TRUE,TRUE,MICROSERVICE_SET,All metrics found!
7,https://github.com/Open-IoT-Service-Platform/platform-launcher,8.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  log_service ms_mention
9,https://github.com/cfpb/consumerfinance.gov,7.0,TRUE,FALSE,MONOLITH,Missing:  size ms_mention
11,https://github.com/Yelp/paasta,9.0,TRUE,FALSE,MICROSERVICE,Missing:  ms_mention
12,https://github.com/Yelp/kafka-utils,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
13,https://github.com/Yelp/task_processing,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
14,https://github.com/Yelp/casper,8.0,TRUE,FALSE,MICROSERVICE,Missing:  messaging ms_mention
15,https://github.com/linkedin/Burrow,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
16,https://github.com/datahub-project/datahub,8.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  size ms_mention
17,https://github.com/DataDog/integrations-core,8.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  ms_mention not_soap
18,https://github.com/DataDog/dd-trace-rb,9.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  ms_mention
19,https://github.com/DataDog/dd-trace-dotnet,1.0,TRUE,FALSE,MONOLITH,Missing:  files allContents dockerfile log_service database messaging rest ms_mention not_soap
20,https://github.com/DataDog/integrations-extras,9.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  ms_mention
21,https://github.com/DataDog/trace-examples,10.0,TRUE,TRUE,MICROSERVICE_SET,All metrics found!
22,https://github.com/dotnet-architecture/eShopOnContainers,8.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  size not_soap
23,https://github.com/NrgXnat/xnat-docker-compose,7.0,TRUE,FALSE,MONOLITH,Missing:  log_service messaging ms_mention
24,https://github.com/square/shuttle,8.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  log_service ms_mention
25,https://github.com/apache/ignite,6.0,TRUE,FALSE,MONOLITH,Missing:  files allContents log_service ms_mention
26,https://github.com/apache/beam,7.0,TRUE,TRUE,MONOLITH,Missing:  files allContents ms_mention
27,https://github.com/apache/arrow,8.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  log_service ms_mention
28,https://github.com/apache/pulsar,9.0,TRUE,FALSE,MICROSERVICE,Missing:  ms_mention
29,https://github.com/apache/skywalking,10.0,TRUE,FALSE,MICROSERVICE,All metrics found!
30,https://github.com/apache/james-project,9.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  ms_mention
31,https://github.com/apache/bookkeeper,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
32,https://github.com/apache/flink,7.0,TRUE,TRUE,MONOLITH,Missing:  files allContents ms_mention
33,https://github.com/apache/myfaces-tobago,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
34,https://github.com/apache/predictionio,8.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  log_service ms_mention
35,https://github.com/apache/griffin,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
36,https://github.com/apache/metron,9.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  ms_mention
37,https://github.com/apache/trafficcontrol,10.0,TRUE,TRUE,MICROSERVICE_SET,All metrics found!
38,https://github.com/spotify/bigtable-autoscaler,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
39,https://github.com/andreaskoch/dockerized-magento,7.0,TRUE,FALSE,MONOLITH,Missing:  log_service messaging ms_mention
40,https://github.com/arvatoSCM/dockerize-magento2,7.0,TRUE,FALSE,MONOLITH,Missing:  log_service messaging ms_mention
41,https://github.com/sameersbn/docker-gitlab,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
42,https://github.com/SAP/InfraBox,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
43,https://github.com/zammad/zammad-docker-compose,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
45,https://github.com/reportportal/reportportal,9.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service
46,https://github.com/onap/archived-portal,9.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  log_service
47,https://github.com/datosgobar/portal-base,8.0,TRUE,TRUE,MICROSERVICE_SET,Missing:  log_service ms_mention
48,https://github.com/cBioPortal/cbioportal,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
49,https://github.com/WeblateOrg/docker-compose,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
50,https://github.com/ONLYOFFICE/Docker-CommunityServer,8.0,TRUE,FALSE,MICROSERVICE,Missing:  messaging ms_mention
51,https://github.com/owncloud-docker/server,7.0,TRUE,FALSE,MONOLITH,Missing:  log_service messaging ms_mention
52,https://github.com/zalando/zally,8.0,TRUE,FALSE,MICROSERVICE,Missing:  log_service ms_mention
