REPO_EXAMPLE_ID  ,NAME  ,OWNER  ,URL  ,DATABASE_CONNECTION  ,DOCKERFILE  ,LOGS_SERVICE  ,MESSAGING  ,MICROSERVICE_MENTION  ,RESTFUL  ,SOAP  ,ALL_CONTENTS_NUMBER  ,FILES  ,SIZE  ,DATABASE_SERVICES  ,PROGRAMMING_LANGUAGES  ,LOG_SERVICES  ,MESSAGING_SERVICES  ,DOCKERFILES  ,MICROSERVICE  ,MICROSERVICE_SET  
1,robot-shop,instana,https://github.com/instana/robot-shop,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,218,171,105596,4,5,1,0,33,TRUE,TRUE
2,conductor,Netflix,https://github.com/Netflix/conductor,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1710,1133,30199,5,4,0,0,24,TRUE,TRUE
3,titus-control-plane,Netflix,https://github.com/Netflix/titus-control-plane,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3629,2484,37883,1,1,0,1,12,TRUE,FALSE
4,genie,Netflix,https://github.com/Netflix/genie,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2246,1580,205313,3,4,0,0,14,TRUE,TRUE
5,cadence,uber,https://github.com/uber/cadence,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1935,1574,61643,14,1,0,0,39,TRUE,FALSE
6,microservices-demo,microservices-demo,https://github.com/microservices-demo/microservices-demo,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,224,197,54208,6,2,3,0,14,TRUE,TRUE
7,platform-launcher,Open-IoT-Service-Platform,https://github.com/Open-IoT-Service-Platform/platform-launcher,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,199,147,1915,3,2,0,0,25,TRUE,TRUE
9,consumerfinance.gov,cfpb,https://github.com/cfpb/consumerfinance.gov,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3856,3257,2088064,1,2,1,0,30,TRUE,FALSE
11,paasta,Yelp,https://github.com/Yelp/paasta,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1110,990,91068,1,1,0,0,147,TRUE,FALSE
12,kafka-utils,Yelp,https://github.com/Yelp/kafka-utils,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,242,209,2725,1,1,0,0,4,TRUE,FALSE
13,task_processing,Yelp,https://github.com/Yelp/task_processing,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,158,129,37965,1,1,0,0,17,TRUE,FALSE
14,casper,Yelp,https://github.com/Yelp/casper,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,118,90,1131,1,2,1,0,8,TRUE,FALSE
15,Burrow,linkedin,https://github.com/linkedin/Burrow,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,102,87,999,1,1,0,0,10,TRUE,FALSE
16,datahub,datahub-project,https://github.com/datahub-project/datahub,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,7311,5486,1283210,31,5,2,0,188,TRUE,TRUE
17,integrations-core,DataDog,https://github.com/DataDog/integrations-core,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,10321,7833,211947,2,12,0,0,538,TRUE,TRUE
18,dd-trace-rb,DataDog,https://github.com/DataDog/dd-trace-rb,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3194,2535,59808,5,4,0,0,76,TRUE,TRUE
19,dd-trace-dotnet,DataDog,https://github.com/DataDog/dd-trace-dotnet,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9372,8072,110911,0,9,0,0,0,TRUE,FALSE
20,integrations-extras,DataDog,https://github.com/DataDog/integrations-extras,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3668,2650,180366,8,4,1,0,132,TRUE,TRUE
21,trace-examples,DataDog,https://github.com/DataDog/trace-examples,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1211,879,101231,12,7,0,0,48,TRUE,TRUE
22,eShopOnContainers,dotnet-architecture,https://github.com/dotnet-architecture/eShopOnContainers,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1864,1465,658257,6,3,5,0,77,TRUE,TRUE
23,xnat-docker-compose,NrgXnat,https://github.com/NrgXnat/xnat-docker-compose,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,21,15,364,1,0,0,0,5,TRUE,FALSE
24,shuttle,square,https://github.com/square/shuttle,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2144,1707,11674,2,3,0,0,5,TRUE,TRUE
25,ignite,apache,https://github.com/apache/ignite,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,18732,15769,442014,1,7,0,1,30,TRUE,FALSE
