REPO_MINED_ID  ,NAME  ,OWNER  ,URL  ,DATABASE_CONNECTION  ,DOCKERFILE  ,LOGS_SERVICE  ,MESSAGING  ,MICROSERVICE_MENTION  ,RESTFUL  ,SOAP  ,ALL_CONTENTS_NUMBER  ,FILES  ,SIZE  ,DATABASE_SERVICES  ,PROGRAMMING_LANGUAGES  ,LOG_SERVICES  ,MESSAGING_SERVICES  ,DOCKERFILES  
204,spring-boot-microservices-example,oktadev,https://github.com/oktadev/spring-boot-microservices-example,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,140,84,6743,1,3,0,0,0
205,spring-netflix-oss-microservices,fernandoabcampos,https://github.com/fernandoabcampos/spring-netflix-oss-microservices,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,209,72,74,1,1,0,0,15
209,cqrs-microservice-sampler,benwilcock,https://github.com/benwilcock/cqrs-microservice-sampler,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,210,113,1080,2,1,0,0,9
210,cloud-native-microservice-strangler-example,kbastani,https://github.com/kbastani/cloud-native-microservice-strangler-example,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,664,519,5868,1,2,0,1,27
212,delivery-system,matt-slater,https://github.com/matt-slater/delivery-system,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,130,73,137,1,3,0,0,2
213,digota,digota,https://github.com/digota/digota,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1265,1059,13432,1,1,0,0,1
214,e-commerce-microservices-sample,venkataravuri,https://github.com/venkataravuri/e-commerce-microservices-sample,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,244,165,1822,1,4,0,0,7
217,EnterprisePlanner,gfawcett22,https://github.com/gfawcett22/EnterprisePlanner,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,346,258,662,1,3,0,0,3
221,research-modifiability-pattern-experiment,xJREB,https://github.com/xJREB/research-modifiability-pattern-experiment,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,525,347,1068,1,3,0,1,0
222,spring-boot-graph-processing-example,kbastani,https://github.com/kbastani/spring-boot-graph-processing-example,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,155,81,269,1,2,0,1,10
223,microservices-demo,GoogleCloudPlatform,https://github.com/GoogleCloudPlatform/microservices-demo,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,435,348,32291,1,5,0,0,18
225,million-song-library,TheDigitalNinja,https://github.com/TheDigitalNinja/million-song-library,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1368,1062,86478,1,0,0,0,3
226,LakesideMutual,Microservice-API-Patterns,https://github.com/Microservice-API-Patterns/LakesideMutual,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,731,537,3204,0,2,0,0,5
228,ramanujan,senecajs,https://github.com/senecajs/ramanujan,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,181,127,2279,0,1,0,0,19
229,microService,bishion,https://github.com/bishion/microService,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,228,85,77,0,1,0,1,0
231,microservice-kubernetes,ewolff,https://github.com/ewolff/microservice-kubernetes,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,156,89,134,0,1,0,1,7
232,microservices-reference-implementation,mspnp,https://github.com/mspnp/microservices-reference-implementation,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,98,73,1536,1,0,0,0,2
234,spring-cloud-movie-recommendation,mdeket,https://github.com/mdeket/spring-cloud-movie-recommendation,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,175,93,648,1,1,0,0,0
235,MusicStore,aspnet,https://github.com/aspnet/MusicStore,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,6783,0,0,0,0,0
237,spring-cloud-netflix-example,yidongnan,https://github.com/yidongnan/spring-cloud-netflix-example,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,122,65,1097,0,1,0,1,19
238,PartsUnlimitedMRPmicro,microsoft,https://github.com/microsoft/PartsUnlimitedMRPmicro,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,480,315,33271,1,3,1,0,25
239,mra-ingenious,nginxinc,https://github.com/nginxinc/mra-ingenious,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,29,18,276,4,1,0,0,5
240,PiggyMetrics,sqshq,https://github.com/sqshq/PiggyMetrics,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,376,204,1524,5,2,0,0,3
244,servicecommerce,antonio94js,https://github.com/antonio94js/servicecommerce,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,302,231,406,1,1,1,1,5
245,qbike,JoeCao,https://github.com/JoeCao/qbike,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,245,119,384,3,1,1,0,10
246,sitewhere,sitewhere,https://github.com/sitewhere/sitewhere,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1113,717,58115,1,2,0,1,5
248,spring-cloud-microservice-examples,zpng,https://github.com/zpng/spring-cloud-microservice-examples,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,307,132,162,1,2,0,1,16
249,microservices-demo,paulc4,https://github.com/paulc4/microservices-demo,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,92,63,1355,1,1,0,0,2
251,amazon-ecs-java-microservices,aws-samples,https://github.com/aws-samples/amazon-ecs-java-microservices,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,543,368,31918,0,2,0,0,43
254,Tap-And-Eat-MicroServices,jferrater,https://github.com/jferrater/Tap-And-Eat-MicroServices,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,271,113,105,1,1,0,0,4
255,CloudShop-MicroService-Architecture,yun19830206,https://github.com/yun19830206/CloudShop-MicroService-Architecture,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,259,144,12463,1,2,0,0,0
257,train-ticket,FudanSELab,https://github.com/FudanSELab/train-ticket,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3923,2829,82199,53,4,45,0,22
258,Microservices,Vanilla-Java,https://github.com/Vanilla-Java/Microservices,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,84,62,84,0,1,0,0,0
259,vehicle-tracking-microservices,mohamed-abdo,https://github.com/mohamed-abdo/vehicle-tracking-microservices,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,256,186,1198,3,1,0,0,11
260,warehouse-microservice,HieJulia,https://github.com/HieJulia/warehouse-microservice,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,569,311,152,1,1,0,1,10
302,lazarocosta.github.io,lazarocosta,https://github.com/lazarocosta/lazarocosta.github.io,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,116,97,1575,0,1,0,0,0
303,universal-webview,winily,https://github.com/winily/universal-webview,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,139,110,802,0,4,0,0,0
304,eShopOnWeb,dotnet-architecture,https://github.com/dotnet-architecture/eShopOnWeb,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,578,447,60948,1,2,0,0,20
305,modular-monolith-with-ddd,kgrzybek,https://github.com/kgrzybek/modular-monolith-with-ddd,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1675,1224,7650,1,1,0,0,11
306,educational-platform,anton-liauchuk,https://github.com/anton-liauchuk/educational-platform,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,714,319,1271,1,1,0,0,0
307,modular-monolith-nodejs,mgce,https://github.com/mgce/modular-monolith-nodejs,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,462,323,2963,2,2,0,0,5
308,fastapi-fullstack-boilerplate,tmkontra,https://github.com/tmkontra/fastapi-fullstack-boilerplate,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,37,27,89,1,1,0,0,1
309,go-webapp-example,OFFLINE-GmbH,https://github.com/OFFLINE-GmbH/go-webapp-example,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,175,132,129,1,1,0,0,5
310,duckiedrone,duckietown,https://github.com/duckietown/duckiedrone,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,12,11,60142,0,0,0,0,1
311,SophianEcommerce,kennymeneses,https://github.com/kennymeneses/SophianEcommerce,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,138,105,11467,1,1,0,0,4
314,ETrade,DijitalDonusumAkademi,https://github.com/DijitalDonusumAkademi/ETrade,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,111,84,763,1,2,0,0,0
315,ArchitectureMonolitic,MuriloFurlan80,https://github.com/MuriloFurlan80/ArchitectureMonolitic,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,79,57,102,0,1,0,0,0
316,1_ECS_Java_Spring_PetClinic,j3antov4r,https://github.com/j3antov4r/1_ECS_Java_Spring_PetClinic,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,59,41,38,1,2,0,0,4
317,fullstackpython.com,mattmakai,https://github.com/mattmakai/fullstackpython.com,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2146,2035,130987,1,1,1,1,57
318,cookiecutter-django,cookiecutter,https://github.com/cookiecutter/cookiecutter-django,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,330,261,7507,1,2,0,1,49
319,graphene-django,graphql-python,https://github.com/graphql-python/graphene-django,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,256,211,1231,1,2,0,0,2
320,djangox,wsvincent,https://github.com/wsvincent/djangox,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,68,55,27834,1,1,0,0,3
321,django-project-template,jpadilla,https://github.com/jpadilla/django-project-template,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,17,167,1,1,0,0,0
322,btre_project,bradtraversy,https://github.com/bradtraversy/btre_project,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,122,99,2461,1,2,0,0,1
323,django-twoscoops-project,twoscoops,https://github.com/twoscoops/django-twoscoops-project,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,46,36,1659,1,2,0,0,1
324,django-bootstrap-toolkit,dyve,https://github.com/dyve/django-bootstrap-toolkit,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,120,106,241,1,2,0,0,0
325,django-leaflet,makinacorpus,https://github.com/makinacorpus/django-leaflet,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,147,105,2541,1,2,0,0,1
326,cattobuyz-v1,poncoe,https://github.com/poncoe/cattobuyz-v1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,656,530,5976,1,3,0,0,0
327,finance.py,TomasMaggi,https://github.com/TomasMaggi/finance.py,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,21,19,26,1,1,0,0,0
328,basic-project-django2-channels2-gunicorn-dahpne,JagerCox,https://github.com/JagerCox/basic-project-django2-channels2-gunicorn-dahpne,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,51,44,221,1,1,0,1,0
329,Restaurants-Symfony,Franjrsierra18,https://github.com/Franjrsierra18/Restaurants-Symfony,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,87,68,150,0,1,0,0,0
330,Recipe-app,williamrolando88,https://github.com/williamrolando88/Recipe-app,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,210,149,334,1,2,0,0,0
332,TaskManager,OscarPay,https://github.com/OscarPay/TaskManager,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,186,140,259,1,2,0,1,1
333,demo,symfony,https://github.com/symfony/demo,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,292,234,21833,0,2,1,0,2
334,symfony-standard,symfony,https://github.com/symfony/symfony-standard,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,50,35,2054,0,1,0,0,0
335,symfony4,knpuniversity,https://github.com/knpuniversity/symfony4,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,664,642,33095,0,1,0,0,1
336,scratch-gui,LLK,https://github.com/LLK/scratch-gui,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2251,2136,2025065,0,1,0,1,1
337,django-ckeditor,django-ckeditor,https://github.com/django-ckeditor/django-ckeditor,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1528,1319,12933,1,2,0,0,1
,,,,,,,,,,,,,,,,,,
